custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,in_actual
PXD045710,,o4-mini-2025-04-16,Yes | justification: The title and description specify high-grade serous ovarian cancer (HGSOC).,No | evidence: Only tumor samples from 12 HGSOC patients (65 tumors) are described; no healthy controls mentioned. | justification: No healthy control group is included.,Not applicable | evidence: No healthy controls provided. | justification: Composition criterion is irrelevant without healthy controls.,"Yes | justification: The study performed proteogenomic profiling, which includes proteomic analysis.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset focuses on ovarian cancer proteomics but lacks healthy controls.,No,False
PXD027577,,o4-mini-2025-04-16,"No | justification: The study focuses on ovarian follicular fluid related to oocyte maturation and quality, not on ovarian cancer.",No | evidence: No mention of control group samples in title or description. | justification: The description does not indicate inclusion of healthy control samples.,Not applicable | evidence: No sample composition provided | justification: Healthy control proportion cannot be assessed without explicit control data.,Yes | justification: Title and description specify a proteomic investigation of ovarian follicular fluid.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Fails cancer focus and lacks healthy controls, though it is proteomic.",No,False
PXD046360,,o4-mini-2025-04-16,"Yes | justification: Focuses on low grade serous ovarian cancer (LGSC), serous borderline tumor (SBT) and high grade serous (HGSC) ovarian tumors","No | evidence: Only LGSC, SBT and HGSC tumor samples are described; no normal/healthy samples mentioned | justification: No reference to healthy control or normal tissue samples","Not applicable | evidence: No healthy control sample composition provided | justification: Healthy controls are not included, so composition threshold does not apply","Yes | justification: Dataset reports whole proteome profiling, indicating proteomic analysis","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it studies ovarian cancer using proteomics, it lacks healthy control samples required by criteria",No,False
PXD001176,,o4-mini-2025-04-16,"Yes | justification: The study investigates cisplatin resistance mechanisms in the A2780 ovarian cancer cell line and its resistant derivative, directly focusing on ovarian cancer.","No | evidence: Only two ovarian cancer cell lines (A2780 and A2780-DR) were analyzed, without any non-cancerous or healthy control samples. | justification: No healthy or normal control samples are included; all samples are cancer cell lines.",Not applicable | evidence: N/A | justification: There are no healthy control samples in the dataset.,"Yes | justification: The study performed quantitative proteomic analysis, identifying 340 differentially expressed proteins by mass-spectrometry–based methods.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset meets the ovarian cancer and proteomics criteria, it lacks healthy control samples, failing criterion 2.",No,False
PXD020557,,o4-mini-2025-04-16,Yes | justification: Title and description focus on high-grade serous ovarian cancer patient plasma analysis.,Yes | evidence: Description states ‘10 healthy female plasmas’ | justification: Includes healthy female plasma samples alongside cancer samples.,Yes | evidence: 10 healthy controls out of 20 total samples (50% healthy) | justification: Healthy controls comprise ≥20% of the sample set.,"Yes | justification: MS files for plasma proteins were uploaded, indicating proteomic analysis.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset studies ovarian cancer vs. healthy controls using proteomic MS data with sufficient healthy control representation.,Yes,True
PXD030034,,o4-mini-2025-04-16,Yes | justification: Title and description specify high grade serous ovarian cancer (HGSC) and homologous recombination–deficient ovarian tumors.,No | evidence: Description only mentions autopsy samples from 15 women with HR-deficient HGSC. | justification: No healthy or non-cancer control samples are indicated.,Not applicable | evidence: No control samples described. | justification: Sample composition not provided for healthy controls.,No | justification: Study describes a multi-omics approach but does not explicitly mention proteomic analyses.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: No | justification: While the dataset focuses on ovarian cancer, it lacks healthy controls and proteomic data.",No,False
PXD012295,,o4-mini-2025-04-16,"No | justification: The study focuses on oral cancer (OSCC) and tobacco abuse, not ovarian cancer.","Yes | evidence: ""differential saliva proteome profile of tobacco abuser, OSCC and healthy control"" | justification: Healthy control samples are explicitly mentioned.",Unclear | evidence: No sample numbers or percentages provided for each group | justification: The relative proportion of healthy controls is not specified.,Yes | justification: The study analyzes the saliva proteome profile using proteomic methods.,"meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Although it includes healthy controls and proteomic analysis, it is not about ovarian cancer.",No,False
PXD025940,,o4-mini-2025-04-16,No | justification: The study characterizes the ovarian matrisome across physiological stages (prepuberty to menopause) without any mention of ovarian cancer samples or tumor biology.,"No | evidence: All samples are from healthy ovarian tissues at different life stages; no comparison between disease and control groups is described. | justification: The dataset does not include cancer cases or a case–control design, only normal ovarian tissues.",Not applicable | evidence: No explicit case–control sample composition provided. | justification: The dataset lacks a control group defined against diseased samples.,Yes | justification: The study uses mass spectrometry–based quantitative proteomics with TMT pro 16-plex labeling to profile the ovarian proteome and ECM.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset employs proteomics, it is not related to ovarian cancer nor does it include disease versus healthy control comparisons; thus it fails key inclusion criteria.",No,False
PXD000901,,o4-mini-2025-04-16,Yes | justification: Study focuses on exomes and phospho-proteomes of five ovarian cancer cell lines.,"No | evidence: Description only mentions ovarian cancer cell lines, no healthy controls. | justification: No mention of healthy control samples.","Not applicable | justification: No healthy controls reported, thus composition not applicable.",Yes | justification: Includes global quantitative analysis of (phospho-)proteomes.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer-related and proteomic but lacks healthy controls, failing criterion 2.",No,False
PXD051569,,o4-mini-2025-04-16,"No | justification: The dataset focuses on premature ovarian failure (POF), not ovarian cancer.",Yes | evidence: “14 POF patients and 16 healthy controls.” | justification: Description explicitly states inclusion of healthy control samples.,Yes | evidence: 16 healthy controls out of a total of 30 samples (≈53%). | justification: Healthy controls represent over 20% of the cohort.,Yes | justification: The study includes label-free proteomic analysis of serum exosomes.,meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Fails the ovarian cancer criterion—focuses on POF rather than ovarian cancer—despite meeting other criteria.,No,False
PXD008582,,o4-mini-2025-04-16,"No | justification: The dataset focuses on metastatic colorectal cancer (CRC), not ovarian cancer.","No | evidence: Description mentions CRC cell lines and mouse models, with no reference to healthy control samples. | justification: No healthy control group is described.","Not applicable | evidence: No healthy controls are included, so sample composition for controls is not provided. | justification: Healthy control composition cannot be assessed in absence of controls.",Yes | justification: The study uses quantitative phosphoproteomics to identify DDR1 substrates and signaling changes.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset employs proteomics, it does not involve ovarian cancer or healthy controls.",No,False
PXD014352,,o4-mini-2025-04-16,Yes | justification: Title and description specifically focus on ovarian malignant tissue and ovarian carcinoma biomarker discovery.,No | evidence: Description mentions non-malignant tissue samples but does not specify healthy control subjects. | justification: Non-malignant tissue from cancer patients is not explicitly defined as healthy controls.,Not applicable | evidence: No explicit sample composition or percentage of healthy controls provided. | justification: Cannot assess healthy control proportion without sample breakdown.,Yes | justification: Study employs 2D gel electrophoresis and MALDI-TOF MS for proteomic analysis.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is focused on ovarian cancer proteomics, it lacks defined healthy control samples, failing the healthy control criterion.",No,True
PXD029428,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly refer to ovarian carcinoma (OC) and BRCA1/2-deficient ovarian cancer.,No | evidence: Study uses OC cell lines and patient-derived tumor samples only; no healthy or normal samples are mentioned. | justification: No healthy control samples are reported.,Not applicable | evidence: No healthy controls in dataset. | justification: Proportion criterion does not apply when no healthy controls are present.,"Yes | justification: Employs chemical proteomics, phosphoproteomics and ADP-ribosylation proteomics approaches.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the study is on ovarian cancer and uses proteomics, it lacks healthy controls, failing criterion 2.",No,False
PXD026929,,o4-mini-2025-04-16,Yes | justification: Title and description focus on miR-141 secretion by ovarian cancer cells and its effects in that context.,"No | evidence: Only scrambled-transfected fibroblast controls are described, not healthy human subjects. | justification: Controls are technical (scrambled miRNA), not healthy individual samples.",Not applicable | evidence: No healthy controls present | justification: No explicit healthy subject composition provided.,Yes | justification: Samples were sent for proteomic analysis to profile protein changes.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer–related and proteomic but lacks healthy control samples.,No,False
PXD056996,,o4-mini-2025-04-16,"Yes | justification: Title and description focus on high-grade serous ovarian carcinoma, a subtype of ovarian cancer.",Yes | evidence: Description mentions EVs isolated from HGSOC and non-cancerous cell lines and normal ovary tissues as controls. | justification: Dataset compares HGSOC samples to matching non-cancerous cell line and tissue controls.,Not applicable | evidence: No sample composition details provided in description. | justification: No explicit numbers or proportions of healthy controls are given.,"Yes | justification: The study performs comparative glycoproteomics of extracellular vesicles and tissues, indicating proteomic profiling.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset is about HGSOC, includes non-cancerous controls, and uses proteomic methods.",Yes,True
PXD055521,,o4-mini-2025-04-16,Yes | justification: The study focuses on signaling pathways and therapy responses in high-grade serous ovarian carcinoma (OVCAR8) cells.,"No | evidence: No healthy human or normal tissue samples are described; controls are CRISPR‐engineered cell lines (ΔAAVS1, wild-type). | justification: Only ovarian cancer cell lines and engineered knockouts are used, not healthy individuals or tissues.",Not applicable | evidence: N/A | justification: No healthy control samples are present to assess composition.,Yes | justification: The study uses quantitative phosphoproteomics and matching global proteomics analyses.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While it meets the ovarian cancer and proteomics requirements, it lacks healthy human control samples.",No,False
PXD023272,,o4-mini-2025-04-16,Yes | justification: Title and description specify high grade serous ovarian cancer tissue and biomarkers detection in ovarian cancer.,No | evidence: Description reports samples from a single cancer case; no mention of healthy subjects or controls. | justification: Only tumor and cervical swab/Pap test from an ovarian cancer case are analyzed; no healthy control group.,Not applicable | evidence: No healthy controls reported | justification: No sample composition for controls provided.,"Yes | justification: Study uses LC-MS/MS to identify and analyze 4,934 proteins, indicating proteomic analysis.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset covers ovarian cancer and uses proteomics but lacks healthy control samples.,No,False
PXD042317,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly focus on high-grade serous ovarian cancer and its metastatic environment.,No | evidence: Description does not mention any healthy control samples or normal tissue comparators. | justification: No healthy control group is described.,Not applicable | evidence: No sample composition information provided. | justification: Healthy controls are not included.,No | justification: No proteomic analysis or protein expression profiling is mentioned in the title or description.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: No | justification: While the dataset focuses on ovarian cancer, it lacks healthy control samples and does not involve proteomic methods.",No,False
PXD000695,,o4-mini-2025-04-16,"Yes | justification: The dataset analyzes exosomes isolated from four epithelial ovarian cancer cell lines (OVCAR3, OVCAR433, OVCAR5, SKOV3).",No | evidence: Description only mentions ovarian cancer cell lines; no healthy control samples are included. | justification: No healthy control group is present in the study.,Not applicable | evidence: No healthy controls provided. | justification: Cannot assess composition without healthy control samples.,Yes | justification: Exosomes were characterized using mass spectrometry-based proteomics.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset meets ovarian cancer and proteomics criteria but fails to include healthy controls as required by criterion 2.,No,False
PXD022436,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly refer to early ovarian (cancer) prognostic markers.,Unclear | evidence: No mention of healthy control samples in title or description. | justification: Insufficient information to confirm presence of healthy controls.,Not applicable | evidence: No sample composition details provided. | justification: Cannot assess healthy control proportion without explicit composition data.,Yes | justification: Title and description state the study is proteomics-based.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Focuses on ovarian cancer and uses proteomics but lacks evidence of healthy controls.,No,False
PXD024735,,o4-mini-2025-04-16,"No | justification: Study focuses on polycystic ovary syndrome (PCOS) and endometrial tissue, not ovarian cancer.",No | evidence: Description only mentions PCOS patients; no healthy control group described. | justification: No mention of healthy control samples.,Not applicable | evidence: No healthy controls present | justification: No sample composition provided for controls.,Yes | justification: Study investigates the secretory endometrial proteome in PCOS patients.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Fails ovarian cancer and healthy controls criteria, meets proteomics criterion only.",No,False
PXD025239,,o4-mini-2025-04-16,"Yes | justification: The dataset uses the HEYA8 ovarian epithelial cancer cell line to study ECM1 subtypes, indicating focus on ovarian cancer.",No | evidence: All samples derive from ovarian cancer cell line co-IP experiments; no healthy tissues or cell lines are described. | justification: No healthy control samples are included in the study.,"Not applicable | justification: Healthy controls are absent, so composition criteria cannot be assessed.",Yes | justification: The study employs LC-MS/MS proteomic analysis on co-immunoprecipitated protein samples.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset meets ovarian cancer focus and proteomics criteria, it lacks healthy controls, failing criterion 2.",No,False
PXD056566,,o4-mini-2025-04-16,"No | justification: Study uses ovarian granulosa cell line (KGN) and other reproductive cells to investigate PGR interactome for ovulation, not ovarian cancer research.","No | evidence: Dataset comprises only cell lines (KGN, breast cancer cell lines, endometrial stromal cells) with no healthy donor samples. | justification: No healthy control samples are described.",Not applicable | evidence: No healthy control samples present. | justification: Healthy controls not part of study.,Yes | justification: Immunoprecipitation-mass spectrometry was used for proteomic analysis of PGR interactors.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although proteomics data are present, the dataset is not focused on ovarian cancer and lacks healthy controls.",No,False
PXD001403,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly mention proteome profiling of ovarian cancer ascites.,"No | evidence: Samples include ascites from ovarian cancer and cirrhosis patients; no healthy control samples are described. | justification: Cirrhosis ascites represents a disease control, not healthy subjects.","Not applicable | evidence: No healthy control samples provided in the dataset. | justification: Healthy controls are absent, so composition criterion cannot be evaluated.",Yes | justification: The study performs proteome profiling of ascites samples.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset focuses on ovarian cancer proteomics but lacks any healthy control samples, failing criterion 2.",No,False
PXD026309,,o4-mini-2025-04-16,Yes | justification: The study includes ovarian cancer cells as one of the cancer types analyzed.,No | evidence: Description only mentions prostate and ovarian cancer cells treated with cisplatin. | justification: No healthy (non-cancer) control samples are described.,Not applicable | evidence: No sample composition or control group information provided. | justification: Cannot assess healthy control proportion in absence of any controls.,"Yes | justification: The HMGB1 interactome was characterized, implying proteomic analysis (e.g., affinity-purification mass spectrometry).","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset studies ovarian cancer cells and uses proteomic methods to map the HMGB1 interactome, it lacks any healthy control samples and therefore fails criterion 2.",No,False
PXD012034,,o4-mini-2025-04-16,"No | justification: The study focuses on polycystic ovary syndrome (PCOS) in pregnant women, not on ovarian cancer.",Yes | evidence: “plasma samples from pregnant control women (n = 23)” | justification: The dataset includes a control group of pregnant women without PCOS.,Yes | evidence: 23 controls out of a total of 14 PCOS + 23 controls = 37 samples (~62% controls) | justification: Healthy controls constitute greater than 20% of the total sample cohort.,Yes | justification: The dataset uses label-free quantitative proteomics to analyze the plasma proteome.,"meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Fails criterion 1 (not ovarian cancer), but meets criteria 2 and 3.",No,False
PXD030450,,o4-mini-2025-04-16,Yes | justification: Study uses ovarian cancer tissue for phosphoproteome analysis.,No | evidence: Description mentions only tumor tissues and cell cultures; no healthy/control samples. | justification: No mention of healthy control samples.,Not applicable | evidence: No healthy controls reported. | justification: Sample composition for controls not provided since none were included.,Yes | justification: The dataset is a quantitative phosphoproteomics analysis.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While it covers ovarian cancer phosphoproteomics, it lacks healthy control samples and thus fails the control criterion.",No,False
PXD045423,,o4-mini-2025-04-16,"No | justification: Dataset studies EMT in MCF10A breast epithelial cell line induced by TGF-β, not ovarian cancer.","No | evidence: No mention of healthy control samples; only single-cell profiles of treated cell line. | justification: All samples are from MCF10A cells undergoing EMT, no healthy human controls included.",Not applicable | evidence: None | justification: No healthy controls present to assess composition.,Yes | justification: This is a single-cell proteomic dataset profiling ~420 cells and 1827–4096 proteins at 1% FDR.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While it is a proteomics study, it is not about ovarian cancer and lacks healthy controls.",No,False
PXD003304,,o4-mini-2025-04-16,"No | justification: The study focuses on Salmonella effector SrfH-induced modifications of ERK2 kinase, with no relevance to ovarian cancer.",No | evidence: Description does not mention any healthy or normal control samples. | justification: No healthy controls described in the dataset.,Not applicable | justification: No healthy controls present to assess composition.,Yes | justification: The project uses mass spectrometry–based proteomics to identify deamidation and phosphorylation sites on ERK2.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While it is a proteomics study, it neither involves ovarian cancer nor includes healthy controls.",No,False
PXD055609,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly state the study focuses on ovarian cancer (OC) tumors,"No | evidence: Only five metastatic OC tumor samples are described, with no mention of healthy control samples | justification: The dataset includes only tumor samples and does not include any healthy controls",Not applicable | evidence: Sample composition lists only five OC tumors and no healthy controls | justification: No healthy controls are present to assess proportional composition,Yes | justification: The study employs immunopeptidomic analysis (a proteomics approach) to identify HLA-I–presented peptides,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is proteomic and focused on ovarian cancer, it lacks healthy control samples, failing the healthy control criterion",No,False
PXD054649,,o4-mini-2025-04-16,Yes | justification: Title and description focus on ovarian cancer patient-derived xenograft models.,No | evidence: Description only describes PDX models derived from ovarian tumors with no mention of healthy or normal samples. | justification: No healthy control samples are indicated.,Not applicable | evidence: No healthy controls present | justification: Cannot assess proportion without healthy samples.,Yes | justification: The study employs a quantitative mass spectrometry-based proteomic approach.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Meets cancer and proteomics criteria but fails healthy control requirement.,No,False
PXD051282,,o4-mini-2025-04-16,"Yes | justification: Title and description focus on HGSOC, a subtype of ovarian cancer.",No | evidence: Title and description do not mention any healthy control samples. | justification: No indication of inclusion of healthy subjects.,"Not applicable | evidence: No explicit sample composition provided. | justification: Without any healthy controls, composition criteria cannot be assessed.",Yes | justification: Study explicitly involves proteomic analysis of urinary biomarkers.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it is a proteomic study on ovarian cancer, it lacks healthy controls required for inclusion.",No,False
PXD052205,,o4-mini-2025-04-16,Yes | justification: The title and description specify the use of ovarian cancer cells (OVCAR8) to study p85beta protein interactions.,No | evidence: Description only mentions ovarian cancer cell line samples. | justification: No healthy control samples are described; only cancer cell line data are used.,"Not applicable | evidence: No sample composition information on healthy controls is provided. | justification: Healthy controls are absent, so composition criteria do not apply.","Yes | justification: The study employs immunoprecipitation followed by mass spectrometry, a proteomic technique.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset focuses on ovarian cancer and uses proteomics methods but lacks healthy controls, failing criterion 2.",No,False
PXD066017,,o4-mini-2025-04-16,Yes | justification: The study models high‐grade serous ovarian cancer (HGSOC) precancerous changes in fallopian tube epithelium driven by ovarian cancer‐derived extracellular vesicles.,No | evidence: No mention of samples from healthy donors or untreated controls distinct from cancer‐EV exposures. | justification: The description does not include a cohort of healthy control subjects; all samples are tissue exposed to cancer‐derived EVs.,"Not applicable | evidence: No explicit sample composition provided. | justification: Since no healthy controls are described, composition criteria cannot be applied.",Yes | justification: The platform includes proteomic profiling of extracellular vesicle cargo (tissue‐derived EV proteomics).,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset addresses ovarian cancer and includes proteomic data, it does not include a defined healthy control group, failing criterion 2.",No,False
PXD059026,,o4-mini-2025-04-16,Yes | justification: The title and description focus on ovarian cancer stem cells (OCSCs) and mechanisms in ovarian cancer.,No | evidence: Description does not mention any healthy control samples or comparison with non‐cancerous tissue or cells. | justification: All samples described are ovarian cancer stem cells or tumor‐related in vitro/in vivo models.,Not applicable | evidence: No healthy controls reported. | justification: Healthy control composition cannot be assessed because no controls are included.,"No | justification: Study investigates molecular mechanisms (succinylation, lipid desaturation) and therapeutic response but does not report any proteomic profiling or mass spectrometry data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: No | justification: While the dataset is about ovarian cancer, it lacks healthy controls and proteomics data, failing criteria 2 and 3.",No,False
PXD006078,,o4-mini-2025-04-16,Yes | justification: Title and description focus on ovarian cancer tumor suppressor OPCML and its role in cancer development,No | evidence: No mention of healthy control samples or normal tissues in description | justification: Study describes proteomics in cancer cell lines/mutants without reference to healthy controls,Not applicable | justification: No healthy controls present,Yes | justification: Describes a quantitative SILAC proteomics experiment on lipid rafts,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it meets ovarian cancer and proteomics criteria, it lacks healthy control samples, failing inclusion criterion 2",No,False
PXD009571,,o4-mini-2025-04-16,No | justification: The dataset describes a methodological protocol for RNA–protein complex purification (PTex) without any mention of ovarian cancer or related clinical samples.,No | evidence: The description focuses solely on method development and does not mention any sample cohorts or controls. | justification: No healthy control samples are described.,Not applicable | evidence: No sample composition information is provided. | justification: There are no healthy controls in the dataset.,"No | justification: This is a protocol for RNA–protein crosslinking extraction, not a mass-spectrometry-based proteomics study.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: No | justification: The dataset does not involve ovarian cancer, contains no healthy controls, and is not a proteomics dataset.",No,False
