# TITLE: Expression data from non-small cell lung carcinoma (NSCLC)
# SUMMARY: The analytical validation of a 15 gene prognostic signature for early-stage, completely resected, non-small-cell lung carcinoma that distinguishes between patients with good and poor prognoses.
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Study,GPL570_Tissue,GPL570_Agent,GPL570_Risk,GPL570_Specimen,GPL570_Lab,GPL570_Specimen treatment,GPL570_Patient
-,GSM1540097,EQUIVALENCE STUDY::Specimen-0859T;RNALater    ;'Rep.1 (S0867F0011.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0859T,,RNALater,
-,GSM1540098,EQUIVALENCE STUDY::Specimen-0859T;RNALater    ;'Rep.2 (S0867F0011.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0859T,,RNALater,
-,GSM1540099,EQUIVALENCE STUDY::Specimen-0864T;RNALater    ;'Rep.1 (S0867F0012.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0864T,,RNALater,
-,GSM1540100,EQUIVALENCE STUDY::Specimen-0864T;RNALater    ;'Rep.2 (S0867F0012.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0864T,,RNALater,
-,GSM1540101,EQUIVALENCE STUDY::Specimen-1256T;RNALater    ;'Rep.1 (S0867F0013.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1256T,,RNALater,
-,GSM1540102,EQUIVALENCE STUDY::Specimen-1256T;RNALater    ;'Rep.2 (S0867F0013.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1256T,,RNALater,
-,GSM1540103,EQUIVALENCE STUDY::Specimen-1492T;RNALater    ;'Rep.1 (S0867F0014.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1492T,,RNALater,
-,GSM1540104,EQUIVALENCE STUDY::Specimen-1492T;RNALater    ;'Rep.2 (S0867F0014.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1492T,,RNALater,
-,GSM1540105,EQUIVALENCE STUDY::Specimen-1518T;RNALater    ;'Rep.1 (S0867F0015.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1518T,,RNALater,
-,GSM1540106,EQUIVALENCE STUDY::Specimen-1518T;RNALater    ;'Rep.2 (S0867F0015.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1518T,,RNALater,
-,GSM1540107,EQUIVALENCE STUDY::Specimen-1667T;RNALater    ;'Rep.1 (S0867F0017.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1667T,,RNALater,
-,GSM1540108,EQUIVALENCE STUDY::Specimen-1667T;RNALater    ;'Rep.2 (S0867F0017.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1667T,,RNALater,
-,GSM1540109,EQUIVALENCE STUDY::Specimen-1701T;RNALater    ;'Rep.1 (S0867F0019.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1701T,,RNALater,
-,GSM1540110,EQUIVALENCE STUDY::Specimen-1701T;RNALater    ;'Rep.2 (S0867F0019.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1701T,,RNALater,
-,GSM1540111,EQUIVALENCE STUDY::Specimen-1750T;RNALater    ;'Rep.1 (S0867F0020.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1750T,,RNALater,
-,GSM1540112,EQUIVALENCE STUDY::Specimen-1750T;RNALater    ;'Rep.2 (S0867F0020.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1750T,,RNALater,
-,GSM1540113,EQUIVALENCE STUDY::Specimen-1869T;RNALater    ;'Rep.1 (S0867F0022.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1869T,,RNALater,
-,GSM1540114,EQUIVALENCE STUDY::Specimen-1869T;RNALater    ;'Rep.2 (S0867F0022.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1869T,,RNALater,
-,GSM1540115,EQUIVALENCE STUDY::Specimen-1912T;RNALater    ;'Rep.1 (S0867F0023.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1912T,,RNALater,
-,GSM1540116,EQUIVALENCE STUDY::Specimen-1912T;RNALater    ;'Rep.2 (S0867F0023.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1912T,,RNALater,
-,GSM1540117,EQUIVALENCE STUDY::Specimen-2046T;RNALater    ;'Rep.1 (S0867F0024.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2046T,,RNALater,
-,GSM1540118,EQUIVALENCE STUDY::Specimen-2046T;RNALater    ;'Rep.2 (S0867F0024.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2046T,,RNALater,
-,GSM1540119,EQUIVALENCE STUDY::Specimen-2123T;RNALater    ;'Rep.1 (S0867F0025.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2123T,,RNALater,
-,GSM1540120,EQUIVALENCE STUDY::Specimen-2123T;RNALater    ;'Rep.2 (S0867F0025.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2123T,,RNALater,
-,GSM1540121,EQUIVALENCE STUDY::Specimen-2212T;RNALater    ;'Rep.1 (S0867F0027.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2212T,,RNALater,
-,GSM1540122,EQUIVALENCE STUDY::Specimen-2212T;RNALater    ;'Rep.2 (S0867F0027.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2212T,,RNALater,
-,GSM1540123,EQUIVALENCE STUDY::Specimen-2311T;RNALater    ;'Rep.1 (S0867F0028.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2311T,,RNALater,
-,GSM1540124,EQUIVALENCE STUDY::Specimen-2311T;RNALater    ;'Rep.2 (S0867F0028.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2311T,,RNALater,
-,GSM1540125,EQUIVALENCE STUDY::Specimen-2482T;RNALater    ;'Rep.1 (S0867F0029.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2482T,,RNALater,
-,GSM1540126,EQUIVALENCE STUDY::Specimen-2482T;RNALater    ;'Rep.2 (S0867F0029.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2482T,,RNALater,
-,GSM1540127,EQUIVALENCE STUDY::Specimen-2531T;RNALater    ;'Rep.1 (S0867F0030.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2531T,,RNALater,
-,GSM1540128,EQUIVALENCE STUDY::Specimen-2531T;RNALater    ;'Rep.2 (S0867F0030.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2531T,,RNALater,
-,GSM1540129,EQUIVALENCE STUDY::Specimen-2729T;RNALater    ;'Rep.1 (S0867F0032.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2729T,,RNALater,
-,GSM1540130,EQUIVALENCE STUDY::Specimen-2729T;RNALater    ;'Rep.2 (S0867F0032.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2729T,,RNALater,
-,GSM1540131,EQUIVALENCE STUDY::Specimen-2834T;RNALater    ;'Rep.1 (S0867F0033.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2834T,,RNALater,
-,GSM1540132,EQUIVALENCE STUDY::Specimen-2834T;RNALater    ;'Rep.2 (S0867F0033.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2834T,,RNALater,
-,GSM1540133,EQUIVALENCE STUDY::Specimen-2898T;RNALater    ;'Rep.1 (S0867F0034.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2898T,,RNALater,
-,GSM1540134,EQUIVALENCE STUDY::Specimen-2898T;RNALater    ;'Rep.2 (S0867F0034.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2898T,,RNALater,
-,GSM1540135,EQUIVALENCE STUDY::Specimen-4374T;RNALater    ;'Rep.1 (S0867F0036.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-4374T,,RNALater,
-,GSM1540136,EQUIVALENCE STUDY::Specimen-4374T;RNALater    ;'Rep.2 (S0867F0036.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-4374T,,RNALater,
-,GSM1540137,EQUIVALENCE STUDY::Specimen-4424T;RNALater    ;'Rep.1 (S0867F0040.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-4424T,,RNALater,
-,GSM1540138,EQUIVALENCE STUDY::Specimen-4424T;RNALater    ;'Rep.2 (S0867F0040.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-4424T,,RNALater,
-,GSM1540139,EQUIVALENCE STUDY::Specimen-0222T;Fresh Frozen;'Rep.1 (S0867F0042.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0222T,,Fresh Frozen,
-,GSM1540140,EQUIVALENCE STUDY::Specimen-0222T;Fresh Frozen;'Rep.2 (S0867F0042.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0222T,,Fresh Frozen,
-,GSM1540141,EQUIVALENCE STUDY::Specimen-0298T;Fresh Frozen;'Rep.1 (S0867F0043.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0298T,,Fresh Frozen,
-,GSM1540142,EQUIVALENCE STUDY::Specimen-0298T;Fresh Frozen;'Rep.2 (S0867F0043.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0298T,,Fresh Frozen,
-,GSM1540143,EQUIVALENCE STUDY::Specimen-0338T;Fresh Frozen;'Rep.1 (S0867F0045.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0338T,,Fresh Frozen,
-,GSM1540144,EQUIVALENCE STUDY::Specimen-0338T;Fresh Frozen;'Rep.2 (S0867F0045.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0338T,,Fresh Frozen,
-,GSM1540145,EQUIVALENCE STUDY::Specimen-0350T;Fresh Frozen;'Rep.1 (S0867F0046.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0350T,,Fresh Frozen,
-,GSM1540146,EQUIVALENCE STUDY::Specimen-0350T;Fresh Frozen;'Rep.2 (S0867F0046.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0350T,,Fresh Frozen,
-,GSM1540147,EQUIVALENCE STUDY::Specimen-0595T;Fresh Frozen;'Rep.1 (S0867F0048.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0595T,,Fresh Frozen,
-,GSM1540148,EQUIVALENCE STUDY::Specimen-0595T;Fresh Frozen;'Rep.2 (S0867F0048.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0595T,,Fresh Frozen,
-,GSM1540149,EQUIVALENCE STUDY::Specimen-0620T;Fresh Frozen;'Rep.1 (S0867F0049.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0620T,,Fresh Frozen,
-,GSM1540150,EQUIVALENCE STUDY::Specimen-0620T;Fresh Frozen;'Rep.2 (S0867F0049.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0620T,,Fresh Frozen,
-,GSM1540151,EQUIVALENCE STUDY::Specimen-0672T;Fresh Frozen;'Rep.1 (S0867F0050.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0672T,,Fresh Frozen,
-,GSM1540152,EQUIVALENCE STUDY::Specimen-0672T;Fresh Frozen;'Rep.2 (S0867F0050.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0672T,,Fresh Frozen,
-,GSM1540153,EQUIVALENCE STUDY::Specimen-0859T;Fresh Frozen;'Rep.1 (S0867F0052.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0859T,,Fresh Frozen,
-,GSM1540154,EQUIVALENCE STUDY::Specimen-0859T;Fresh Frozen;'Rep.2 (S0867F0052.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0859T,,Fresh Frozen,
-,GSM1540155,EQUIVALENCE STUDY::Specimen-0864T;Fresh Frozen;'Rep.1 (S0867F0053.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0864T,,Fresh Frozen,
-,GSM1540156,EQUIVALENCE STUDY::Specimen-0864T;Fresh Frozen;'Rep.2 (S0867F0053.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0864T,,Fresh Frozen,
-,GSM1540157,EQUIVALENCE STUDY::Specimen-1256T;Fresh Frozen;'Rep.1 (S0867F0054.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1256T,,Fresh Frozen,
-,GSM1540158,EQUIVALENCE STUDY::Specimen-1256T;Fresh Frozen;'Rep.2 (S0867F0054.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1256T,,Fresh Frozen,
-,GSM1540159,EQUIVALENCE STUDY::Specimen-1492T;Fresh Frozen;'Rep.1 (S0867F0055.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1492T,,Fresh Frozen,
-,GSM1540160,EQUIVALENCE STUDY::Specimen-1492T;Fresh Frozen;'Rep.2 (S0867F0055.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1492T,,Fresh Frozen,
-,GSM1540161,EQUIVALENCE STUDY::Specimen-1518T;Fresh Frozen;'Rep.1 (S0867F0056.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1518T,,Fresh Frozen,
-,GSM1540162,EQUIVALENCE STUDY::Specimen-1518T;Fresh Frozen;'Rep.2 (S0867F0056.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1518T,,Fresh Frozen,
-,GSM1540163,EQUIVALENCE STUDY::Specimen-1667T;Fresh Frozen;'Rep.1 (S0867F0058.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1667T,,Fresh Frozen,
-,GSM1540164,EQUIVALENCE STUDY::Specimen-1667T;Fresh Frozen;'Rep.2 (S0867F0058.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1667T,,Fresh Frozen,
-,GSM1540165,EQUIVALENCE STUDY::Specimen-1701T;Fresh Frozen;'Rep.1 (S0867F0060.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1701T,,Fresh Frozen,
-,GSM1540166,EQUIVALENCE STUDY::Specimen-1701T;Fresh Frozen;'Rep.2 (S0867F0060.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1701T,,Fresh Frozen,
-,GSM1540167,EQUIVALENCE STUDY::Specimen-1750T;Fresh Frozen;'Rep.1 (S0867F0061.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1750T,,Fresh Frozen,
-,GSM1540168,EQUIVALENCE STUDY::Specimen-1750T;Fresh Frozen;'Rep.2 (S0867F0061.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1750T,,Fresh Frozen,
-,GSM1540169,EQUIVALENCE STUDY::Specimen-1869T;Fresh Frozen;'Rep.1 (S0867F0063.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1869T,,Fresh Frozen,
-,GSM1540170,EQUIVALENCE STUDY::Specimen-1869T;Fresh Frozen;'Rep.2 (S0867F0063.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1869T,,Fresh Frozen,
-,GSM1540171,EQUIVALENCE STUDY::Specimen-1912T;Fresh Frozen;'Rep.1 (S0867F0064.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1912T,,Fresh Frozen,
-,GSM1540172,EQUIVALENCE STUDY::Specimen-1912T;Fresh Frozen;'Rep.2 (S0867F0064.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-1912T,,Fresh Frozen,
-,GSM1540173,EQUIVALENCE STUDY::Specimen-2046T;Fresh Frozen;'Rep.1 (S0867F0065.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2046T,,Fresh Frozen,
-,GSM1540174,EQUIVALENCE STUDY::Specimen-2046T;Fresh Frozen;'Rep.2 (S0867F0065.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2046T,,Fresh Frozen,
-,GSM1540175,EQUIVALENCE STUDY::Specimen-2123T;Fresh Frozen;'Rep.1 (S0867F0066.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2123T,,Fresh Frozen,
-,GSM1540176,EQUIVALENCE STUDY::Specimen-2123T;Fresh Frozen;'Rep.2 (S0867F0066.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2123T,,Fresh Frozen,
-,GSM1540177,EQUIVALENCE STUDY::Specimen-2212T;Fresh Frozen;'Rep.1 (S0867F0068.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2212T,,Fresh Frozen,
-,GSM1540178,EQUIVALENCE STUDY::Specimen-2212T;Fresh Frozen;'Rep.2 (S0867F0068.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2212T,,Fresh Frozen,
-,GSM1540179,EQUIVALENCE STUDY::Specimen-2311T;Fresh Frozen;'Rep.1 (S0867F0069.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2311T,,Fresh Frozen,
-,GSM1540180,EQUIVALENCE STUDY::Specimen-2311T;Fresh Frozen;'Rep.2 (S0867F0069.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2311T,,Fresh Frozen,
-,GSM1540181,EQUIVALENCE STUDY::Specimen-2482T;Fresh Frozen;'Rep.1 (S0867F0070.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2482T,,Fresh Frozen,
-,GSM1540182,EQUIVALENCE STUDY::Specimen-2482T;Fresh Frozen;'Rep.2 (S0867F0070.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2482T,,Fresh Frozen,
-,GSM1540183,EQUIVALENCE STUDY::Specimen-2531T;Fresh Frozen;'Rep.1 (S0867F0071.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2531T,,Fresh Frozen,
-,GSM1540184,EQUIVALENCE STUDY::Specimen-2531T;Fresh Frozen;'Rep.2 (S0867F0071.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2531T,,Fresh Frozen,
-,GSM1540185,EQUIVALENCE STUDY::Specimen-2729T;Fresh Frozen;'Rep.1 (S0867F0073.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2729T,,Fresh Frozen,
-,GSM1540186,EQUIVALENCE STUDY::Specimen-2729T;Fresh Frozen;'Rep.2 (S0867F0073.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2729T,,Fresh Frozen,
-,GSM1540187,EQUIVALENCE STUDY::Specimen-2834T;Fresh Frozen;'Rep.1 (S0867F0074.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2834T,,Fresh Frozen,
-,GSM1540188,EQUIVALENCE STUDY::Specimen-2834T;Fresh Frozen;'Rep.2 (S0867F0074.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2834T,,Fresh Frozen,
-,GSM1540189,EQUIVALENCE STUDY::Specimen-2898T;Fresh Frozen;'Rep.1 (S0867F0075.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2898T,,Fresh Frozen,
-,GSM1540190,EQUIVALENCE STUDY::Specimen-2898T;Fresh Frozen;'Rep.2 (S0867F0075.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-2898T,,Fresh Frozen,
-,GSM1540191,EQUIVALENCE STUDY::Specimen-4374T;Fresh Frozen;'Rep.1 (S0867F0077.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-4374T,,Fresh Frozen,
-,GSM1540192,EQUIVALENCE STUDY::Specimen-4374T;Fresh Frozen;'Rep.2 (S0867F0077.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-4374T,,Fresh Frozen,
-,GSM1540193,EQUIVALENCE STUDY::Specimen-4424T;Fresh Frozen;'Rep.1 (S0867F0081.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-4424T,,Fresh Frozen,
-,GSM1540194,EQUIVALENCE STUDY::Specimen-4424T;Fresh Frozen;'Rep.2 (S0867F0081.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-4424T,,Fresh Frozen,
-,GSM1540195,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.1 (S0867F0083.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540196,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.2 (S0867F0083.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540197,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.1 (S0867F0084.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540198,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.2 (S0867F0084.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540199,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0085.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540200,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0085.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540201,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.1 (S0867F0086.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540202,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.2 (S0867F0086.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540203,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.1 (S0867F0087.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540204,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.2 (S0867F0087.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540205,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0088.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540206,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0088.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540207,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.1 (S0867F0089.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540208,EQUIVALENCE STUDY::Specimen-110-1;RNALater    ;'Rep.2 (S0867F0089.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-1,,RNALater,
-,GSM1540209,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0090.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540210,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0090.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540211,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0093.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540212,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0093.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540213,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0094.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540214,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0094.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540215,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0095.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540216,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0095.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540217,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0097.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540218,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0097.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540219,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0098.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540220,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0098.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540221,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.1 (S0867F0099.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
-,GSM1540222,EQUIVALENCE STUDY::Specimen-110-0;RNALater    ;'Rep.2 (S0867F0099.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-110-0,,RNALater,
