# TITLE: Time-course gene expression profiles of gefitinib-sensitive or -resistant lung adenocarcinoma cells stimulated with EGF, in the presence or absence of gefitinib, EGF receptor tyrosine kinase-specific inhibitor
# SUMMARY: Gefitinib, an epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI), induces substantial clinical responses for non-small cell lung cancer (NSCLC) cells harboring EGFR activating mutations, but most of them invariably develop resistance. By generating a gefitinib resistance (PC9GR) from a human NSCLC-derived drug sensitive cell line (PC9), we studied differences of transcription dynamics between them by the aid of a computational decoupling of hidden regulatory signals from time course gene expression profiles. Given a collection of transcription factors (TFs) and their regulatory targets, the method captured temporally-synchronized shifts in evolving expression of target genes sharing each TF regulatory unit, and drew underlying regulatory signals. The analysis identified sterol regulatory element binding protein 1 (SREBP-1) as a key regulatory agent that facilitates the maintenance of drug tolerance, involving transcription controls of a G1-specific cyclin dependent kinase inhibitor whose expression was specifically elevated in PC9, but in turn, reduced in PC9GR
GPL4133_Group,GPL4133_Accession,GPL4133_Title,GPL4133_Source name,GPL4133_Tissue,GPL4133_Drug response,GPL4133_Cell line,GPL4133_Time,GPL4133_Treatment
-,GSM845070,PC9GRM2_EGF_IRS_22hr,"PC9GRM2, 22hr, EGF and gefitinib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,22hr,EGF and gefitinib
-,GSM845071,PC9GRM2_EGF_IRS_23hr,"PC9GRM2, 23hr, EGF and gefitinib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,23hr,EGF and gefitinib
-,GSM845072,PC9GRM2_EGF_IRS_24hr,"PC9GRM2, 24hr, EGF and gefitinib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,24hr,EGF and gefitinib
-,GSM845073,PC9GRM2_IRS_0hr,"PC9GRM2, 0hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,0hr,gefinitib
-,GSM845074,PC9GRM2_IRS_0.5hr,"PC9GRM2, 0.5hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,0.5hr,gefinitib
-,GSM845075,PC9GRM2_IRS_1hr,"PC9GRM2, 1hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,1hr,gefinitib
-,GSM845076,PC9GRM2_IRS_2hr,"PC9GRM2, 2hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,2hr,gefinitib
-,GSM845077,PC9GRM2_IRS_3hr,"PC9GRM2, 3hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,3hr,gefinitib
-,GSM845078,PC9GRM2_IRS_4hr,"PC9GRM2, 4hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,4hr,gefinitib
-,GSM845079,PC9GRM2_IRS_5hr,"PC9GRM2, 5hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,5hr,gefinitib
-,GSM845080,PC9GRM2_IRS_6hr,"PC9GRM2, 6hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,6hr,gefinitib
-,GSM845081,PC9GRM2_IRS_7hr,"PC9GRM2, 7hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,7hr,gefinitib
-,GSM845082,PC9GRM2_IRS_8hr,"PC9GRM2, 8hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,8hr,gefinitib
-,GSM845083,PC9GRM2_IRS_9hr,"PC9GRM2, 9hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,9hr,gefinitib
-,GSM845084,PC9GRM2_IRS_10hr,"PC9GRM2, 10hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,10hr,gefinitib
-,GSM845085,PC9GRM2_IRS_11hr,"PC9GRM2, 11hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,11hr,gefinitib
-,GSM845086,PC9GRM2_IRS_12hr,"PC9GRM2, 12hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,12hr,gefinitib
-,GSM845087,PC9GRM2_IRS_13hr,"PC9GRM2, 13hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,13hr,gefinitib
-,GSM845088,PC9GRM2_IRS_14hr,"PC9GRM2, 14hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,14hr,gefinitib
-,GSM845089,PC9GRM2_IRS_15hr,"PC9GRM2, 15hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,15hr,gefinitib
-,GSM845090,PC9GRM2_IRS_16hr,"PC9GRM2, 16hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,16hr,gefinitib
-,GSM845091,PC9GRM2_IRS_17hr,"PC9GRM2, 17hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,17hr,gefinitib
-,GSM845092,PC9GRM2_IRS_18hr,"PC9GRM2, 18hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,18hr,gefinitib
-,GSM845093,PC9GRM2_IRS_19hr,"PC9GRM2, 19hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,19hr,gefinitib
-,GSM845094,PC9GRM2_IRS_20hr,"PC9GRM2, 20hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,20hr,gefinitib
-,GSM845095,PC9GRM2_IRS_21hr,"PC9GRM2, 21hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,21hr,gefinitib
-,GSM845096,PC9GRM2_IRS_22hr,"PC9GRM2, 22hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,22hr,gefinitib
-,GSM845097,PC9GRM2_IRS_23hr,"PC9GRM2, 23hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,23hr,gefinitib
-,GSM845098,PC9GRM2_IRS_24hr,"PC9GRM2, 24hr, gefinitib",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,24hr,gefinitib
-,GSM845099,PC9GRM2_None_0hr,"PC9GRM2, 0hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,0hr,no treatment
-,GSM845100,PC9GRM2_None_0.5hr,"PC9GRM2, 0.5hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,0.5hr,no treatment
-,GSM845101,PC9GRM2_None_1hr,"PC9GRM2, 1hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,1hr,no treatment
-,GSM845102,PC9GRM2_None_2hr,"PC9GRM2, 2hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,2hr,no treatment
-,GSM845103,PC9GRM2_None_3hr,"PC9GRM2, 3hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,3hr,no treatment
-,GSM845104,PC9GRM2_None_4hr,"PC9GRM2, 4hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,4hr,no treatment
-,GSM845105,PC9GRM2_None_5hr,"PC9GRM2, 5hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,5hr,no treatment
-,GSM845106,PC9GRM2_None_6hr,"PC9GRM2, 6hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,6hr,no treatment
-,GSM845107,PC9GRM2_None_7hr,"PC9GRM2, 7hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,7hr,no treatment
-,GSM845108,PC9GRM2_None_8hr,"PC9GRM2, 8hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,8hr,no treatment
-,GSM845109,PC9GRM2_None_9hr,"PC9GRM2, 9hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,9hr,no treatment
-,GSM845110,PC9GRM2_None_10hr,"PC9GRM2, 10hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,10hr,no treatment
-,GSM845111,PC9GRM2_None_11hr,"PC9GRM2, 11hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,11hr,no treatment
-,GSM845112,PC9GRM2_None_12hr,"PC9GRM2, 12hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,12hr,no treatment
-,GSM845113,PC9GRM2_None_13hr,"PC9GRM2, 13hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,13hr,no treatment
-,GSM845114,PC9GRM2_None_14hr,"PC9GRM2, 14hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,14hr,no treatment
-,GSM845115,PC9GRM2_None_15hr,"PC9GRM2, 15hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,15hr,no treatment
-,GSM845116,PC9GRM2_None_16hr,"PC9GRM2, 16hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,16hr,no treatment
-,GSM845117,PC9GRM2_None_17hr,"PC9GRM2, 17hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,17hr,no treatment
-,GSM845118,PC9GRM2_None_18hr,"PC9GRM2, 18hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,18hr,no treatment
-,GSM845119,PC9GRM2_None_19hr,"PC9GRM2, 19hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,19hr,no treatment
-,GSM845120,PC9GRM2_None_20hr,"PC9GRM2, 20hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,20hr,no treatment
-,GSM845121,PC9GRM2_None_21hr,"PC9GRM2, 21hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,21hr,no treatment
-,GSM845122,PC9GRM2_None_22hr,"PC9GRM2, 22hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,22hr,no treatment
-,GSM845123,PC9GRM2_None_23hr,"PC9GRM2, 23hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,23hr,no treatment
-,GSM845124,PC9GRM2_None_24hr,"PC9GRM2, 24hr, no treatment",non-small cell lung cancer cell line,gefitinib-resistant cell line,PC9GRM2,24hr,no treatment
