# TITLE: DNA copy number profiles of NSCLC tumors
# SUMMARY: Whole genome tiling path array CGH was used to measure the copy number profiles of 271 NSCLC tumors
GPL14360_Group,GPL14360_Accession,GPL14360_Title,GPL14360_Source name 1,GPL14360_Source name 2,GPL14360_Tissue (Ch1),GPL14360_Subtype (Ch1),GPL14360_Reference (Ch2)
-,GSM788854,SqCC_21_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788855,SqCC_22_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788856,SqCC_23_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788857,SqCC_24_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788858,SqCC_25_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788859,SqCC_26_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788860,SqCC_27_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788861,SqCC_28_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788862,SqCC_29_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788863,SqCC_30_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788864,SqCC_31_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788865,SqCC_32_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788866,SqCC_33_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788867,SqCC_34_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788868,SqCC_35_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788869,SqCC_36_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788870,SqCC_37_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788871,SqCC_38_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788872,SqCC_39_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788873,SqCC_40_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788874,SqCC_41_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788875,SqCC_42_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788876,SqCC_43_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788877,SqCC_44_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788878,SqCC_45_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788879,SqCC_46_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788880,SqCC_47_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788881,SqCC_48_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788882,SqCC_49_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788883,SqCC_50_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788884,SqCC_51_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788885,SqCC_52_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788886,SqCC_53_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788887,SqCC_54_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788888,SqCC_55_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788889,SqCC_56_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788890,SqCC_57_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788891,SqCC_58_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788892,SqCC_59_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788893,SqCC_60_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788894,SqCC_61_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788895,SqCC_62_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788896,SqCC_63_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788897,SqCC_64_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788898,SqCC_65_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788899,SqCC_66_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788900,SqCC_67_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788901,SqCC_68_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788902,SqCC_69_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788903,SqCC_70_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788904,SqCC_71_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788905,SqCC_72_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788906,SqCC_73_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788907,SqCC_74_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788908,SqCC_75_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788909,SqCC_76_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788910,SqCC_77_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788911,SqCC_78_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788912,SqCC_79_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788913,SqCC_80_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788914,SqCC_81_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788915,SqCC_82_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788916,SqCC_83_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788917,SqCC_84_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788918,SqCC_85_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788919,SqCC_86_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788920,SqCC_87_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788921,SqCC_88_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788922,SqCC_89_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788923,SqCC_90_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788924,SqCC_91_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788925,SqCC_92_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
