# TITLE: Genome wide DNA methylation analysis in NSCLC
# SUMMARY: DNA methylation is an important mechanism for gene silencing in lung cancer. In this study we identified a large number of tumor specifically methylated genes in NSCLC patients by methylome profiling.
GPL11013_Group,GPL11013_Accession,GPL11013_Title,GPL11013_Source name 1,GPL11013_Source name 2,GPL11013_Tissue (Ch1),GPL11013_Sample type (Ch1),GPL11013_Antibody (Ch2),GPL11013_Antibody manufacturer (Ch2),GPL11013_Characteristics 2,GPL11013_Tissue (Ch2),GPL11013_Cell line (Ch1),GPL11013_Medip antibody (Ch2),GPL11013_Cell line (Ch2)
-,GSM603395,Tumor46,Input Tumor46,IP Tumor46,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603396,Tumor47,Input Tumor47,IP Tumor47,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603397,Tumor48,Input Tumor48,IP Tumor48,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603398,Tumor49,Input Tumor49,IP Tumor49,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603399,Tumor5,Input Tumor5,IP Tumor5,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603400,Tumor50,Input Tumor50,IP Tumor50,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603401,Tumor51,Input Tumor51,IP Tumor51,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603402,Tumor52,Input Tumor52,IP Tumor52,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603403,Tumor53,Input Tumor53,IP Tumor53,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603404,Tumor54,Input Tumor54,IP Tumor54,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603405,Tumor55,Input Tumor55,IP Tumor55,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603406,Tumor56,Input Tumor56,IP Tumor56,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603407,Tumor57,Input Tumor57,IP Tumor57,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603408,Tumor58,Input Tumor58,IP Tumor58,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603409,Tumor59,Input Tumor59,IP Tumor59,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603410,Tumor6,Input Tumor6,IP Tumor6,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603411,Tumor60,Input Tumor60,IP Tumor60,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603412,Tumor61,Input Tumor61,IP Tumor61,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603413,Tumor62,Input Tumor62,IP Tumor62,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603414,Tumor63,Input Tumor63,IP Tumor63,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603415,Tumor64,Input Tumor64,IP Tumor64,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603416,Tumor65,Input Tumor65,IP Tumor65,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603417,Tumor66,Input Tumor66,IP Tumor66,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603418,Tumor67,Input Tumor67,IP Tumor67,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603419,Tumor68,Input Tumor68,IP Tumor68,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603420,Tumor69,Input Tumor69,IP Tumor69,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603421,Tumor7,Input Tumor7,IP Tumor7,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603422,Tumor70,Input Tumor70,IP Tumor70,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603423,Tumor71,Input Tumor71,IP Tumor71,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603424,Tumor72,Input Tumor72,IP Tumor72,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603425,Tumor73,Input Tumor73,IP Tumor73,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603426,Tumor74,Input Tumor74,IP Tumor74,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603427,Tumor75,Input Tumor75,IP Tumor75,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603428,Tumor76,Input Tumor76,IP Tumor76,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603429,Tumor77,Input Tumor77,IP Tumor77,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603430,Tumor78,Input Tumor78,IP Tumor78,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603431,Tumor79,Input Tumor79,IP Tumor79,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603432,Tumor8,Input Tumor8,IP Tumor8,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603433,Tumor80,Input Tumor80,IP Tumor80,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603434,Tumor81,Input Tumor81,IP Tumor81,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603435,Tumor82,Input Tumor82,IP Tumor82,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603436,Tumor83,Input Tumor83,IP Tumor83,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603437,Tumor84,Input Tumor84,IP Tumor84,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603438,Tumor85,Input Tumor85,IP Tumor85,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603439,Tumor86,Input Tumor86,IP Tumor86,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603440,Tumor87,Input Tumor87,IP Tumor87,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603441,Tumor88,Input Tumor88,IP Tumor88,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603442,Tumor89,Input Tumor89,IP Tumor89,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603443,Tumor9,Input Tumor9,IP Tumor9,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603444,Tumor90,Input Tumor90,IP Tumor90,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603445,Tumor91,Input Tumor91,IP Tumor91,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603446,Tumor92,Input Tumor92,IP Tumor92,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603447,Tumor93,Input Tumor93,IP Tumor93,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603448,Tumor94,Input Tumor94,IP Tumor94,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603449,Tumor95,Input Tumor95,IP Tumor95,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603450,Tumor96,Input Tumor96,IP Tumor96,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603451,Tumor97,Input Tumor97,IP Tumor97,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603452,Tumor98,Input Tumor98,IP Tumor98,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603453,Tumor99,Input Tumor99,IP Tumor99,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM669795,Normal101,Input Normal1,IP Normal1,,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM669796,Tumor101,Input Tumor1,IP Tumor1,,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM829339,A549,Input A549,IP A549,,,,,,,A549,Anti-5-mythylcytidine antibody from Eurogentech (BI-MECY-0100),A549
-,GSM829340,H1993,Input H1993,IP H1993,,,,,,,H1993,Anti-5-mythylcytidine antibody from Eurogentech (BI-MECY-0100),H1993
-,GSM829341,H2073,Input H2073,IP H2073,,,,,,,H2073,Anti-5-mythylcytidine antibody from Eurogentech (BI-MECY-0100),H2073
